year,total_ghg,co2,temperature_change_from_co2,temperature_change_from_ghg,coal_pc1,oil_pc1,gas_pc1,cement_pc1,land_use_pc1,ghg_pc1,nonco2_ghg_pc1
1750,4219.061,9.306,0.001,0.002,0.0,0.0,0.0,0.0,0.04152857564224441,1.6653345369377348e-16,8.326672684688674e-16
1751,4219.061,9.407,0.001,0.002,3.8531257785523465e-06,3.3306690738754696e-16,6.938893903907228e-16,1.6653345369377348e-16,0.041528575642244187,0.0,2.7755575615628914e-17
1752,4219.061,9.505,0.001,0.002,7.591802276440962e-06,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1753,4219.061,9.61,0.001,0.002,1.1597527095730253e-05,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1754,4219.061,9.734,0.001,0.002,1.6328097358464522e-05,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1755,4219.061,9.793,0.001,0.002,1.8578933209223436e-05,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1756,4219.061,9.91,0.001,0.002,0.0002323583724736511,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1757,4219.061,10.094,0.001,0.002,0.00023937792834749505,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1758,4219.061,10.216,0.001,0.002,0.00024403219908991636,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1759,4219.061,10.339,0.001,0.002,0.0002487246195924664,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1760,4219.061,10.514,0.001,0.002,0.0002554008276245967,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1761,4219.061,10.748,0.001,0.002,0.00026432787150759696,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1762,4219.061,10.952,0.001,0.002,0.0002721104225850701,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1763,4219.061,11.192,0.001,0.002,0.0002812663650291758,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1764,4219.061,11.397,0.001,0.002,0.0002890870658668332,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1765,4219.061,11.643,0.001,0.002,0.00029847190687198877,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1766,4219.061,11.876,0.001,0.002,0.0009353085529634209,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1767,4219.061,12.153,0.001,0.002,0.0009458760365342878,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1768,4219.061,12.467,0.001,0.002,0.0009578550612319159,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1769,4219.061,12.78,0.001,0.002,0.0009697959361694153,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1770,4219.061,13.097,0.001,0.002,0.0009818894101476516,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1771,4219.061,13.369,0.001,0.002,0.0009922661449175973,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1772,4219.061,13.624,0.001,0.002,0.001001994333764411,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1773,4219.061,13.808,0.001,0.002,0.0010090138896381995,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1774,4219.061,14.012,0.001,0.002,0.0010167964407156727,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1775,4219.061,14.339,0.001,0.002,0.0010292714122957514,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1776,4219.061,14.654,0.001,0.002,0.0014599204213993633,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1777,4219.061,14.96,0.001,0.002,0.001471594248015573,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1778,4219.061,15.243,0.001,0.002,0.0014823906301475454,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1779,4219.061,15.535,0.001,0.002,0.0014935303601211203,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1780,4219.061,15.879,0.001,0.002,0.001506653877624331,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1781,4219.061,16.234,0.001,0.002,0.0015201970424895683,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1782,4219.061,16.581,0.001,0.002,0.0015334350092732763,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1783,4219.061,17.063,0.001,0.002,0.0015518231936818006,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1784,4219.061,17.471,0.001,0.002,0.0015673882958368024,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1785,4219.061,17.965,0.001,0.002,0.001586234277367482,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1786,4219.061,18.447,0.001,0.002,0.0024418861310674944,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1787,4219.061,18.859,0.001,0.002,0.002457603832263122,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1788,4219.061,19.286,0.001,0.002,0.002473893779861569,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1789,4219.061,19.863,0.001,0.002,0.0024959061914875402,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1790,4219.061,20.398,0.001,0.002,0.002516316313185829,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1791,4219.061,20.932,0.001,0.002,0.002536688285123878,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1792,4219.061,21.929,0.001,0.002,0.002574723596026951,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1793,4219.061,22.297,0.001,0.002,0.0025887627077745834,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1794,4219.061,22.52,0.001,0.002,0.0025972701042955015,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1795,4219.061,22.315,0.001,0.002,0.0025894494034578996,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1796,4219.061,22.121,0.001,0.002,0.005093839357856733,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1797,4219.061,22.09,0.001,0.002,0.005092656715291133,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1798,4219.061,23.106,0.001,0.002,0.005131416871637651,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1799,4219.061,27.485,0.001,0.002,0.005298474671481923,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1800,4219.061,32.798,0.001,0.002,0.005501164347337717,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1801,4219.061,31.986,0.001,0.002,0.005470186742068561,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1802,4219.061,40.31,0.001,0.002,0.0057877453458373695,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1803,4219.061,29.539,0.001,0.002,0.0053768342788991785,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1804,4219.061,31.769,0.001,0.002,0.005461908244108693,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1805,4219.061,31.252,0.001,0.002,0.005442184818093776,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1806,4219.061,32.705,0.001,0.002,0.006334880088932127,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1807,4219.061,36.201,0.001,0.002,0.0064682516505341625,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1808,4219.061,35.498,0.001,0.002,0.006441432369125033,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1809,4219.061,36.334,0.001,0.002,0.006473325568638666,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1810,4219.061,39.492,0.001,0.002,0.006593802511298652,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1811,4219.061,40.177,0.001,0.002,0.00661993509702441,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1812,4219.061,40.815,0.001,0.002,0.006644274644021564,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1813,4219.061,41.206,0.001,0.002,0.006659191200253378,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1814,4219.061,42.227,0.001,0.002,0.006698142105400928,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1815,4219.061,43.587,0.001,0.002,0.006750025779250657,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1816,4219.061,45.497,0.001,0.002,0.008916050994430269,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1817,4219.061,49.276,0.001,0.002,0.009060218938164277,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1818,4219.061,51.392,0.001,0.002,0.009140943830712955,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1819,4219.061,50.93,0.001,0.002,0.00912331864150806,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1820,4219.061,50.733,0.001,0.002,0.009115803138751932,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1821,4219.061,52.059,0.001,0.002,0.009166389720755452,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1822,4219.061,54.022,0.001,0.002,0.009241277699995942,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1823,4219.061,56.358,0.001,0.002,0.009330395539784986,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1824,4219.061,57.584,0.001,0.002,0.009377167145770193,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1825,4219.061,60.731,0.001,0.002,0.009497224441068153,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1826,4219.061,61.382,0.001,0.002,0.01580153745463403,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1827,4219.061,65.739,0.001,0.002,0.015967755959754193,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1828,4219.061,66.682,0.001,0.002,0.016003731183607373,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1829,4219.061,66.307,0.001,0.002,0.015989425023538506,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1830,4219.061,88.988,0.001,0.002,0.016854699734264067,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1831,4219.061,83.251,0.001,0.002,0.016635834560090434,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1832,4219.061,82.092,0.001,0.002,0.016591618988037515,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1833,4219.061,83.249,0.001,0.002,0.016635758260570066,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1834,4219.061,88.763,0.001,0.002,0.016846116038222725,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1835,4219.061,97.4,0.001,0.002,0.017175615516929033,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1836,4219.061,106.894,0.001,0.002,0.021724127686570283,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1837,4219.061,106.199,0.001,0.002,0.02169761360324257,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1838,4219.061,105.845,0.001,0.002,0.021684108588137574,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1839,4219.061,109.653,0.001,0.002,0.021829382874916925,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1840,4219.061,118.809,0.001,0.002,0.022178682079158518,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1841,4219.061,122.166,0.001,0.002,0.022306750824095056,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1842,4219.061,129.389,0.001,0.002,0.02258230654190163,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1843,4219.061,132.369,0.001,0.002,0.02269599282724888,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1844,4219.061,141.966,0.001,0.002,0.023062116075731554,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1845,4219.061,155.073,0.001,0.002,0.023562144982458677,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1846,4219.061,157.702,0.001,0.002,0.03517481615473983,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1847,4219.061,170.797,0.001,0.002,0.03567438726434485,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1848,4219.061,173.643,0.001,0.002,0.03578296148182758,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1849,4219.061,185.048,0.001,0.002,0.03621805949672213,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1850,4219.061,196.848,0.001,0.002,0.03666822666688929,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.04152857564224424,1.6653345369377348e-16,0.0
1851,4409.311,198.779,0.001,0.002,0.03674189385380394,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.06752230548651042,2.9411881040997123e-05,0.0007046497265968676
1852,4465.078,207.595,0.003,0.004,0.03707822213958306,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.07294558992777089,0.00014255845324545602,0.001508959035638885
1853,4532.813,217.237,0.004,0.006,0.03744606212727397,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.07984924371472832,0.0002715479989075509,0.002344530011001794
1854,4594.583,255.039,0.006,0.008,0.03888819936173643,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.08117574880421177,0.0007132923719998518,0.0034324044807605425
1855,4572.071,260.26,0.007,0.01,0.039085967718528625,2.498001805406602e-16,6.106226635438361e-16,1.942890293094024e-16,0.07596287947452696,0.000790535124069347,0.004160785222516117
1856,4690.924,278.246,0.008,0.012,0.05944767293450173,1.3985823552054022e-07,6.106226635438361e-16,1.942890293094024e-16,0.08345015779860734,0.01779828394521288,0.004974478676080224
1857,4683.661,281.181,0.01,0.014,0.05955926098303893,6.526717649946168e-07,6.106226635438361e-16,1.942890293094024e-16,0.08089560926121006,0.01784837944615797,0.005597744806821264
1858,4718.895,285.548,0.011,0.016,0.05972544133839894,1.1654852944686933e-06,6.106226635438361e-16,1.942890293094024e-16,0.08430344418218003,0.01790998681584549,0.006164272266244358
1859,4810.028,302.572,0.013,0.018,0.06037516990408684,8.39149412096285e-07,6.106226635438361e-16,1.942890293094024e-16,0.09346712276236457,0.018122899771830847,0.006864838191722122
1860,4593.482,332.298,0.014,0.02,0.061500893027586184,1.1002181177749426e-05,6.106226635438361e-16,1.942890293094024e-16,0.05646133384209401,0.018471737702597746,0.007602024875576874
1861,4605.667,349.19,0.016,0.021,0.06211983473680588,4.214394823942591e-05,6.106226635438361e-16,1.942890293094024e-16,0.05452468234107702,0.018670742056512424,0.008164187395823613
1862,4592.632,355.991,0.017,0.023,0.06236181866565085,6.34956388297081e-05,6.106226635438361e-16,1.942890293094024e-16,0.05066329233649239,0.018756930096752167,0.008614714586509642
1863,4594.464,379.535,0.018,0.025,0.0632640604939943,5.855398118223554e-05,6.106226635438361e-16,1.942890293094024e-16,0.04587900385480562,0.019045821386436956,0.009318747250681297
1864,4547.105,409.525,0.02,0.027,0.06441515320801583,5.002262882841668e-05,6.106226635438361e-16,1.942890293094024e-16,0.03318792978888804,0.01938951672010175,0.009983271233369034
1865,4535.311,434.851,0.021,0.029,0.06537336073454875,5.981270529994975e-05,6.106226635438361e-16,1.942890293094024e-16,0.02640383656669365,0.019682172957022792,0.010604884243759466
1866,4597.011,449.067,0.023,0.031,0.0970796206082323,0.0006196261771399258,6.106226635438361e-16,1.942890293094024e-16,0.01830700346829703,0.050821656620467975,0.01125120963374493
1867,4599.316,480.814,0.024,0.033,0.09828950210269682,0.0006211646177283481,6.106226635438361e-16,1.942890293094024e-16,0.01286663894635609,0.05115768052029049,0.011775446548358881
1868,4588.681,494.494,0.025,0.035,0.09879979329491342,0.0006353369189061875,6.106226635438361e-16,1.942890293094024e-16,0.00833740343415773,0.05131241135933709,0.01224182196531895
1869,4675.858,524.731,0.027,0.037,0.09994092892152698,0.0006504882277310886,6.106226635438361e-16,1.942890293094024e-16,0.014971507712561866,0.05165455919589218,0.012896768242431605
1870,4945.148,536.123,0.028,0.039,0.1003557312640039,0.0006746837024391994,6.106226635438361e-16,1.942890293094024e-16,0.050891347973772594,0.05178952170295917,0.013390746578411272
1871,5014.069,569.777,0.03,0.041,0.10163393897895737,0.0006816299947927928,6.106226635438361e-16,1.942890293094024e-16,0.05367195640252842,0.05216676186726241,0.014556096849473121
1872,5297.401,630.961,0.031,0.043,0.1039522236057979,0.0007010236700887296,6.106226635438361e-16,1.942890293094024e-16,0.08208876122197936,0.052854746999944996,0.01654033978132674
1873,5287.834,670.467,0.033,0.046,0.10538417485429144,0.0007929105306855866,6.106226635438361e-16,1.942890293094024e-16,0.07171282750375363,0.053307786214745995,0.01874941881793324
1874,5458.16,628.662,0.035,0.048,0.1037674261674682,0.0008196700730410122,6.106226635438361e-16,1.942890293094024e-16,0.10010193101588252,0.052895831161013956,0.020670192449933816
1875,5621.64,681.048,0.037,0.05,0.10578150460660424,0.0008006493530392511,6.106226635438361e-16,1.942890293094024e-16,0.1122185976626145,0.05348113419889805,0.0233814592699553
1876,5673.683,690.583,0.038,0.053,0.14672580754870515,0.003219904576898247,6.106226635438361e-16,1.942890293094024e-16,0.025108886846722828,0.1079283122468514,0.025836952165706584
1877,5607.008,704.033,0.04,0.055,0.14715163517187516,0.0033265697910258574,6.106226635438361e-16,1.942890293094024e-16,0.010478434208083087,0.10810235849189442,0.02824869511491432
1878,5727.372,709.65,0.042,0.058,0.14731949411668321,0.0033832589957370207,6.106226635438361e-16,1.942890293094024e-16,0.02417938598549213,0.10818881073895778,0.03037746451842696
1879,5793.445,759.794,0.044,0.06,0.14913259961917175,0.0035053552351602124,6.106226635438361e-16,1.942890293094024e-16,0.023208979048682243,0.1087443622013135,0.032466193003135885
1880,6027.994,858.056,0.046,0.063,0.15277807625304152,0.0036314141245837595,6.106226635438361e-16,1.942890293094024e-16,0.039020110205617825,0.10980971016575314,0.03443387108943627
1881,6074.859,887.965,0.048,0.066,0.15384745218074963,0.003719011999297861,6.106226635438361e-16,1.942890293094024e-16,0.03855593389536152,0.11016721974190866,0.03587050592062954
1882,6324.752,937.888,0.05,0.069,0.1556809678049364,0.003798125141069947,6.106226635438361e-16,1.942890293094024e-16,0.06432747916069226,0.11071672275519567,0.03726177363546904
1883,6328.19,997.515,0.052,0.071,0.15804045417277524,0.0036844670151769676,1.4922747250178947e-05,1.942890293094024e-16,0.05317059822412859,0.11137328614778644,0.03869228251275442
1884,6507.302,1009.43,0.054,0.074,0.1583953613917638,0.0037693609640084835,6.957040037239293e-05,1.942890293094024e-16,0.07518050689725209,0.11150714464776906,0.03966296725196783
1885,6527.37,1017.145,0.056,0.077,0.15856837055419673,0.003799057529305344,0.00024525811451864277,1.942890293094024e-16,0.07503597209687232,0.11160004165413656,0.04060057978942677
1886,6471.709,1032.614,0.058,0.08,0.20578490256154908,0.006849500544422765,0.0005189109008865156,1.942890293094024e-16,0.0,0.16161325882920913,0.04159346901801814
